Município;Dose;Total Doses Aplicadas
ZACARIAS;UNICA;74
VOTUPORANGA;UNICA;2366
VOTORANTIM;UNICA;3335
VITÓRIA BRASIL;UNICA;37
VISTA ALEGRE DO ALTO;UNICA;265
VIRADOURO;UNICA;487
VINHEDO;UNICA;2366
VERA CRUZ;UNICA;197
VÁRZEA PAULISTA;UNICA;4045
VARGEM GRANDE PAULISTA;UNICA;1435
VARGEM GRANDE DO SUL;UNICA;1025
VARGEM;UNICA;261
VALPARAÍSO;UNICA;628
VALINHOS;UNICA;3579
VALENTIM GENTIL;UNICA;436
URUPÊS;UNICA;370
URU;UNICA;31
URÂNIA;UNICA;240
UNIÃO PAULISTA;UNICA;38
UCHOA;UNICA;242
UBIRAJARA;UNICA;110
UBATUBA;UNICA;2319
UBARANA;UNICA;169
TURMALINA;UNICA;26
TURIÚBA;UNICA;39
TUPI PAULISTA;UNICA;375
TUPÃ;UNICA;1423
TUIUTI;UNICA;190
TRÊS FRONTEIRAS;UNICA;140
TREMEMBÉ;UNICA;1291
TRABIJU;UNICA;35
TORRINHA;UNICA;266
TORRE DE PEDRA;UNICA;59
TIMBURI;UNICA;46
TIETÊ;UNICA;1140
TERRA ROXA;UNICA;252
TEODORO SAMPAIO;UNICA;685
TEJUPÁ;UNICA;97
TAUBATÉ;UNICA;8857
TATUÍ;UNICA;3178
TARUMÃ;UNICA;419
TARABAI;UNICA;210
TAQUARIVAÍ;UNICA;136
TAQUARITUBA;UNICA;511
TAQUARITINGA;UNICA;1346
TAQUARAL;UNICA;59
TAPIRATIBA;UNICA;296
TAPIRAÍ;UNICA;155
TANABI;UNICA;637
TAMBAÚ;UNICA;585
TAIÚVA;UNICA;238
TAIAÇU;UNICA;156
TAGUAÍ;UNICA;353
TACIBA;UNICA;196
TABOÃO DA SERRA;UNICA;7906
TABATINGA;UNICA;567
TABAPUÃ;UNICA;274
SUZANO;UNICA;7746
SUZANÁPOLIS;UNICA;77
SUMARÉ;UNICA;8859
SUD MENNUCCI;UNICA;198
SOROCABA;UNICA;19550
SOCORRO;UNICA;1000
SILVEIRAS;UNICA;169
SEVERÍNIA;UNICA;526
SETE BARRAS;UNICA;265
SERTÃOZINHO;UNICA;3616
SERRA NEGRA;UNICA;638
SERRA AZUL;UNICA;214
SEBASTIANÓPOLIS DO SUL;UNICA;87
SARUTAIÁ;UNICA;66
SARAPUÍ;UNICA;266
SÃO VICENTE;UNICA;7792
SÃO SIMÃO;UNICA;374
SÃO SEBASTIÃO DA GRAMA;UNICA;299
SÃO SEBASTIÃO;UNICA;2454
SÃO ROQUE;UNICA;2157
SÃO PEDRO DO TURVO;UNICA;168
SÃO PEDRO;UNICA;812
SÃO PAULO;UNICA;355982
SÃO MIGUEL ARCANJO;UNICA;895
SÃO MANUEL;UNICA;1050
SÃO LUIZ DO PARAITINGA;UNICA;245
SÃO LOURENÇO DA SERRA;UNICA;393
SÃO JOSÉ DOS CAMPOS;UNICA;17982
SÃO JOSÉ DO RIO PRETO;UNICA;13555
SÃO JOSÉ DO RIO PARDO;UNICA;1279
SÃO JOSÉ DO BARREIRO;UNICA;88
SÃO JOSÉ DA BELA VISTA;UNICA;231
SÃO JOAQUIM DA BARRA;UNICA;1444
SÃO JOÃO DO PAU D'ALHO;UNICA;30
SÃO JOÃO DE IRACEMA;UNICA;36
SÃO JOÃO DAS DUAS PONTES;UNICA;62
SÃO JOÃO DA BOA VISTA;UNICA;2176
SÃO FRANCISCO;UNICA;44
SÃO CARLOS;UNICA;7659
SÃO CAETANO DO SUL;UNICA;5007
SÃO BERNARDO DO CAMPO;UNICA;22610
SÃO BENTO DO SAPUCAÍ;UNICA;259
SANTOS;UNICA;8205
SANTÓPOLIS DO AGUAPEÍ;UNICA;164
SANTO EXPEDITO;UNICA;62
SANTO ANTÔNIO DO PINHAL;UNICA;149
SANTO ANTÔNIO DO JARDIM;UNICA;197
SANTO ANTÔNIO DO ARACANGUÁ;UNICA;243
SANTO ANTÔNIO DE POSSE;UNICA;657
SANTO ANTÔNIO DA ALEGRIA;UNICA;162
SANTO ANDRÉ;UNICA;18593
SANTO ANASTÁCIO;UNICA;521
SANTANA DE PARNAÍBA;UNICA;3965
SANTANA DA PONTE PENSA;UNICA;42
SANTA SALETE;UNICA;31
SANTA ROSA DE VITERBO;UNICA;691
SANTA RITA DO PASSA QUATRO;UNICA;554
SANTA RITA D'OESTE;UNICA;58
SANTA MERCEDES;UNICA;60
SANTA MARIA DA SERRA;UNICA;180
SANTA LÚCIA;UNICA;248
SANTA ISABEL;UNICA;1299
SANTA GERTRUDES;UNICA;760
SANTA FÉ DO SUL;UNICA;727
SANTA ERNESTINA;UNICA;167
SANTA CRUZ DO RIO PARDO;UNICA;1017
SANTA CRUZ DAS PALMEIRAS;UNICA;1024
SANTA CRUZ DA ESPERANÇA;UNICA;45
SANTA CRUZ DA CONCEIÇÃO;UNICA;113
SANTA CLARA D'OESTE;UNICA;34
SANTA BRANCA;UNICA;361
SANTA BÁRBARA D'OESTE;UNICA;5521
SANTA ALBERTINA;UNICA;135
SANTA ADÉLIA;UNICA;428
SANDOVALINA;UNICA;83
SALTO GRANDE;UNICA;226
SALTO DE PIRAPORA;UNICA;1354
SALTO;UNICA;3315
SALTINHO;UNICA;273
SALMOURÃO;UNICA;133
SALESÓPOLIS;UNICA;469
SALES OLIVEIRA;UNICA;292
SALES;UNICA;147
SAGRES;UNICA;45
SABINO;UNICA;137
RUBINÉIA;UNICA;67
RUBIÁCEA;UNICA;50
ROSEIRA;UNICA;339
ROSANA;UNICA;409
RIVERSUL;UNICA;117
RIOLÂNDIA;UNICA;279
RIO GRANDE DA SERRA;UNICA;1526
RIO DAS PEDRAS;UNICA;988
RIO CLARO;UNICA;5182
RINÓPOLIS;UNICA;272
RINCÃO;UNICA;308
RIFAINA;UNICA;96
RIBEIRÃO PRETO;UNICA;20779
RIBEIRÃO PIRES;UNICA;3382
RIBEIRÃO GRANDE;UNICA;179
RIBEIRÃO DOS ÍNDIOS;UNICA;44
RIBEIRÃO DO SUL;UNICA;83
RIBEIRÃO CORRENTE;UNICA;144
RIBEIRÃO BRANCO;UNICA;414
RIBEIRÃO BONITO;UNICA;322
RIBEIRA;UNICA;61
RESTINGA;UNICA;174
REGISTRO;UNICA;1157
